Fluxo;Ano;mes_numero;mes_nome;Município;País;Código SH4;Valor US$ FOB;Quilograma Líquido;Descrição SH4
Importação;2022;9;Setembro;Guarujá - SP;Estados Unidos;2815;3990860;9991027;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2022;9;Setembro;Santos - SP;Argentina;1001;22916079;48128200;Trigo e mistura de trigo com centeio
Importação;2022;8;Agosto;Cubatão - SP;Chile;2501;1139633;48594707;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2022;8;Agosto;Guarujá - SP;Estados Unidos;2815;481403;1204322;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2022;8;Agosto;Santos - SP;Argentina;1001;30466313;66433214;Trigo e mistura de trigo com centeio
Importação;2022;7;Julho;Cubatão - SP;Chile;2501;1128018;51322398;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2022;7;Julho;Santos - SP;Argentina;1001;27262870;60798170;Trigo e mistura de trigo com centeio
Importação;2022;6;Junho;Guarujá - SP;Estados Unidos;2815;287593;811317;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2022;6;Junho;Santos - SP;Argentina;1001;32725394;80922220;Trigo e mistura de trigo com centeio
Importação;2022;5;Maio;Cubatão - SP;Chile;2501;3298882;147822341;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2022;5;Maio;Santos - SP;Argentina;1001;16176583;44790000;Trigo e mistura de trigo com centeio
Importação;2022;4;Abril;Guarujá - SP;Estados Unidos;2815;285979;970683;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2022;4;Abril;Santos - SP;Argentina;1001;17871967;56669690;Trigo e mistura de trigo com centeio
Importação;2022;3;Março;Guarujá - SP;Estados Unidos;2815;381333;1300506;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2022;3;Março;Santos - SP;Argentina;1001;24625003;79687000;Trigo e mistura de trigo com centeio
Importação;2022;2;Fevereiro;Cubatão - SP;Chile;2501;1139281;51161590;Sal (incluídos o sal de mesa e o sal desnaturado) e cloreto de sódio puro, mesmo em solução aquosa ou adicionados de agentes antiaglomerantes
Importação;2022;2;Fevereiro;Guarujá - SP;Estados Unidos;2815;4531423;17115777;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2022;2;Fevereiro;Santos - SP;Argentina;1001;8235518;29331440;Trigo e mistura de trigo com centeio
Importação;2022;1;Janeiro;Guarujá - SP;Estados Unidos;2815;6937165;29020743;"Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio"
Importação;2022;1;Janeiro;Santos - SP;Argentina;1001;16488531;60014415;Trigo e mistura de trigo com centeio
Exportação;2021;12;Dezembro;Cubatão - SP;China;1201;3517490;6714050;Soja, mesmo triturada
Exportação;2021;12;Dezembro;Guarujá - SP;China;1201;27716431;55009908;Soja, mesmo triturada
Exportação;2021;12;Dezembro;Santos - SP;China;1201;23906387;46579637;Soja, mesmo triturada
Exportação;2021;11;Novembro;Cubatão - SP;China;1201;9478207;18874523;Soja, mesmo triturada
Exportação;2021;11;Novembro;Guarujá - SP;China;1201;20761012;46848918;Soja, mesmo triturada
Exportação;2021;11;Novembro;Santos - SP;China;1201;40990647;78982590;Soja, mesmo triturada
Exportação;2021;10;Outubro;Cubatão - SP;China;1201;21824403;41045891;Soja, mesmo triturada
Exportação;2021;10;Outubro;Guarujá - SP;China;1201;14962658;30197076;Soja, mesmo triturada
Exportação;2021;10;Outubro;Santos - SP;China;1201;303941;562611;Soja, mesmo triturada
Exportação;2021;9;Setembro;Cubatão - SP;China;1201;2732141;5111398;Soja, mesmo triturada
Exportação;2021;9;Setembro;Guarujá - SP;China;1201;58171662;101803874;Soja, mesmo triturada
Exportação;2021;9;Setembro;Santos - SP;China;1201;24482555;46768026;Soja, mesmo triturada
