Fluxo;Ano;mes_numero;mes_nome;Município;Valor US$ FOB;Quilograma Líquido
Exportação;2024;5;Maio;Cubatão - SP;120043184;155453483
Exportação;2024;5;Maio;Guarujá - SP;116534384;213432025
Exportação;2024;5;Maio;Santos - SP;634161879;1220191024
Exportação;2024;6;Junho;Cubatão - SP;86287969;122193780
Exportação;2024;6;Junho;Guarujá - SP;92076110;172351483
Exportação;2024;6;Junho;Santos - SP;626388443;1247921762
Exportação;2024;7;Julho;Cubatão - SP;88632270;129354326
Exportação;2024;7;Julho;Guarujá - SP;98938157;176139062
Exportação;2024;7;Julho;Santos - SP;499055966;1028147841
Exportação;2024;8;Agosto;Cubatão - SP;123191360;210675493
Exportação;2024;8;Agosto;Guarujá - SP;83850231;157547001
Exportação;2024;8;Agosto;Santos - SP;478575221;977077106
Exportação;2024;9;Setembro;Cubatão - SP;82005293;102093131
Exportação;2024;9;Setembro;Guarujá - SP;64180171;109649156
Exportação;2024;9;Setembro;Santos - SP;421889818;920178449
Exportação;2024;10;Outubro;Cubatão - SP;66916090;55061416
Exportação;2024;10;Outubro;Guarujá - SP;30797780;18438474
Exportação;2024;10;Outubro;Santos - SP;473651233;823499846
Exportação;2024;11;Novembro;Cubatão - SP;67825916;70996766
Exportação;2024;11;Novembro;Guarujá - SP;32398177;16536167
Exportação;2024;11;Novembro;Santos - SP;342306042;567432768
Exportação;2024;12;Dezembro;Cubatão - SP;95726014;106236908
Exportação;2024;12;Dezembro;Guarujá - SP;29410407;16451645
Exportação;2024;12;Dezembro;Santos - SP;467623496;803328963
Exportação;2025;1;Janeiro;Cubatão - SP;81230884;98469891
Exportação;2025;1;Janeiro;Guarujá - SP;42824516;22065485
Exportação;2025;1;Janeiro;Santos - SP;611783270;1040719166
Exportação;2025;2;Fevereiro;Cubatão - SP;99780061;163557838
Exportação;2025;2;Fevereiro;Guarujá - SP;33200612;45310847
Exportação;2025;2;Fevereiro;Santos - SP;696837655;1315263927
Exportação;2025;3;Março;Cubatão - SP;130195513;222535739
Exportação;2025;3;Março;Guarujá - SP;120426968;255608061
Exportação;2025;3;Março;Santos - SP;594774468;1155800600
Exportação;2025;4;Abril;Cubatão - SP;120908922;215458835
Exportação;2025;4;Abril;Guarujá - SP;119395740;266962204
Exportação;2025;4;Abril;Santos - SP;582865620;1187819682
Exportação;2025;5;Maio;Cubatão - SP;92556808;135966382
Exportação;2025;5;Maio;Guarujá - SP;118519011;264625003
Exportação;2025;5;Maio;Santos - SP;591093453;1202023628
Exportação;2025;6;Junho;Cubatão - SP;70276322;95290230
Exportação;2025;6;Junho;Guarujá - SP;61335997;118417119
Exportação;2025;6;Junho;Santos - SP;622547283;1317871202
Exportação;2025;7;Julho;Cubatão - SP;119488699;189965593
Exportação;2025;7;Julho;Guarujá - SP;59229526;104796348
Exportação;2025;7;Julho;Santos - SP;632085670;1262254379
Exportação;2025;8;Agosto;Cubatão - SP;86546168;159340451
Exportação;2025;8;Agosto;Guarujá - SP;45729900;86865204
Exportação;2025;8;Agosto;Santos - SP;533384393;1148869722
Exportação;2025;9;Setembro;Cubatão - SP;102224662;119541329
Exportação;2025;9;Setembro;Guarujá - SP;60654209;119863657
Exportação;2025;9;Setembro;Santos - SP;372736508;757505633
Exportação;2025;10;Outubro;Cubatão - SP;130515304;172709808
Exportação;2025;10;Outubro;Guarujá - SP;29670524;42165912
Exportação;2025;10;Outubro;Santos - SP;475665356;965808604
Exportação;2025;11;Novembro;Cubatão - SP;126677658;146667761
Exportação;2025;11;Novembro;Guarujá - SP;37123376;30096441
Exportação;2025;11;Novembro;Santos - SP;480959855;878700104
Exportação;2025;12;Dezembro;Cubatão - SP;127409833;128834136
Exportação;2025;12;Dezembro;Guarujá - SP;50304451;45205691
Exportação;2025;12;Dezembro;Santos - SP;518890300;992037788
Exportação;2026;1;Janeiro;Cubatão - SP;98033400;86661595
Exportação;2026;1;Janeiro;Guarujá - SP;23822135;26398334
Exportação;2026;1;Janeiro;Santos - SP;463969350;950785518
Exportação;2026;2;Fevereiro;Cubatão - SP;84358745;74528808
Exportação;2026;2;Fevereiro;Guarujá - SP;39277294;73109638
Exportação;2026;2;Fevereiro;Santos - SP;465153105;862131139
Exportação;2026;3;Março;Cubatão - SP;184050152;274999106
Exportação;2026;3;Março;Guarujá - SP;95301176;196222097
Exportação;2026;3;Março;Santos - SP;1079894543;2149643585
Exportação;2026;4;Abril;Cubatão - SP;169920543;251050312
Exportação;2026;4;Abril;Guarujá - SP;151211028;341133092
Exportação;2026;4;Abril;Santos - SP;779921728;1365045064
Exportação;2026;5;Maio;Cubatão - SP;128075822;160117969
Exportação;2026;5;Maio;Guarujá - SP;120477244;253783403
Exportação;2026;5;Maio;Santos - SP;670368498;1198167990
Exportação;2026;6;Junho;Cubatão - SP;129890815;137832335
